"DEP","COM","code_iris","REG","LIBCOM","LIBIRIS","num","P14_POP","NOM_COM","lon","lat","Geo.Point"
"75","75106","751062306","11","Paris 6e Arrondissement","Notre Dame des Champs 6",2286,2782,"Paris 6e Arrondissement","48.8455574265"," 2.32258871026","48.8455574265, 2.32258871026"
"75","75106","751062307","11","Paris 6e Arrondissement","Notre Dame des Champs 7",2257,1785,"Paris 6e Arrondissement","48.8472208266"," 2.32496751169","48.8472208266, 2.32496751169"
"75","75106","751062308","11","Paris 6e Arrondissement","Notre Dame des Champs 8",5106,3125,"Paris 6e Arrondissement","48.8475487584"," 2.32076890225","48.8475487584, 2.32076890225"
"75","75106","751062309","11","Paris 6e Arrondissement","Notre Dame des Champs 9",2544,2338,"Paris 6e Arrondissement","48.8492270999"," 2.32613393306","48.8492270999, 2.32613393306"
"75","75106","751062310","11","Paris 6e Arrondissement","Notre Dame des Champs 10",2321,2239,"Paris 6e Arrondissement","48.8506668961"," 2.32899100101","48.8506668961, 2.32899100101"
"75","75106","751062311","11","Paris 6e Arrondissement","Notre Dame des Champs 11",2120,1908,"Paris 6e Arrondissement","48.8494106549"," 2.33036425245","48.8494106549, 2.33036425245"
"75","75106","751062401","11","Paris 6e Arrondissement","Saint-Germain des Pres 1",6096,1967,"Paris 6e Arrondissement","48.8531523379"," 2.33181770218","48.8531523379, 2.33181770218"
"75","75106","751062402","11","Paris 6e Arrondissement","Saint-Germain des Pres 2",15910,2696,"Paris 6e Arrondissement","48.8556777981"," 2.33417017858","48.8556777981, 2.33417017858"
"75","75106","751062499","11","Paris 6e Arrondissement","Seine et Berges 2",1276,0,"Paris 6e Arrondissement","48.8585249827"," 2.33450861698","48.8585249827, 2.33450861698"
"75","75107","751072501","11","Paris 7e Arrondissement","Saint-Thomas d'Aquin 1",4187,1962,"Paris 7e Arrondissement","48.8537246213"," 2.32778555914","48.8537246213, 2.32778555914"
"75","75107","751072502","11","Paris 7e Arrondissement","Saint-Thomas d'Aquin 2",3482,1584,"Paris 7e Arrondissement","48.8532908389"," 2.32512632672","48.8532908389, 2.32512632672"
"75","75107","751072503","11","Paris 7e Arrondissement","Saint-Thomas d'Aquin 3",2380,1717,"Paris 7e Arrondissement","48.8518098263"," 2.32151594969","48.8518098263, 2.32151594969"
"75","75107","751072504","11","Paris 7e Arrondissement","Saint-Thomas d'Aquin 4",1960,1531,"Paris 7e Arrondissement","48.8559531217"," 2.32296399599","48.8559531217, 2.32296399599"
"75","75107","751072505","11","Paris 7e Arrondissement","Saint-Thomas d'Aquin 5",3025,1700,"Paris 7e Arrondissement","48.8581896953"," 2.32582198862","48.8581896953, 2.32582198862"
"75","75107","751072506","11","Paris 7e Arrondissement","Saint-Thomas d'Aquin 6",3409,2827,"Paris 7e Arrondissement","48.8569593173"," 2.32959132425","48.8569593173, 2.32959132425"
"75","75107","751072507","11","Paris 7e Arrondissement","Saint-Thomas d'Aquin 7",4217,0,"Paris 7e Arrondissement","48.8511331346"," 2.32515416172","48.8511331346, 2.32515416172"
"75","75107","751072508","11","Paris 7e Arrondissement","Saint-Thomas d'Aquin 8",11595,41,"Paris 7e Arrondissement","48.8598298329"," 2.32698513856","48.8598298329, 2.32698513856"
"75","75107","751072599","11","Paris 7e Arrondissement","Seine et Berges 1",595,0,"Paris 7e Arrondissement","48.8600445089"," 2.32911980611","48.8600445089, 2.32911980611"
"75","75107","751072601","11","Paris 7e Arrondissement","Invalides 1",2458,2057,"Paris 7e Arrondissement","48.8558182835"," 2.31903063011","48.8558182835, 2.31903063011"
"75","75107","751072602","11","Paris 7e Arrondissement","Invalides 2",7545,1322,"Paris 7e Arrondissement","48.8565080336"," 2.31616121589","48.8565080336, 2.31616121589"
"75","75107","751072603","11","Paris 7e Arrondissement","Invalides 3",1247,901,"Paris 7e Arrondissement","48.860270297"," 2.31074657982","48.860270297, 2.31074657982"
"75","75107","751072604","11","Paris 7e Arrondissement","Invalides 4",2805,1350,"Paris 7e Arrondissement","48.8601027281"," 2.32135666616","48.8601027281, 2.32135666616"
"75","75107","751072605","11","Paris 7e Arrondissement","Invalides 5",2758,0,"Paris 7e Arrondissement","48.8618394197"," 2.31720218129","48.8618394197, 2.31720218129"
"75","75107","751072606","11","Paris 7e Arrondissement","Invalides 6",7775,158,"Paris 7e Arrondissement","48.8579152292"," 2.3126897962","48.8579152292, 2.3126897962"
"75","75107","751072699","11","Paris 7e Arrondissement","Seine et Berges 2",9584,0,"Paris 7e Arrondissement","48.8628199962"," 2.31786867947","48.8628199962, 2.31786867947"
"75","75107","751072701","11","Paris 7e Arrondissement","Ecole Militaire 1",2980,2933,"Paris 7e Arrondissement","48.8487848053"," 2.31786966411","48.8487848053, 2.31786966411"
"75","75107","751072702","11","Paris 7e Arrondissement","Ecole Militaire 2",1382,1838,"Paris 7e Arrondissement","48.8480373378"," 2.31361188352","48.8480373378, 2.31361188352"
"75","75107","751072703","11","Paris 7e Arrondissement","Ecole Militaire 3",1499,1792,"Paris 7e Arrondissement","48.848389688"," 2.30842018251","48.848389688, 2.30842018251"
"75","75107","751072704","11","Paris 7e Arrondissement","Ecole Militaire 4",1294,1734,"Paris 7e Arrondissement","48.8495189237"," 2.31036320239","48.8495189237, 2.31036320239"
"75","75107","751072705","11","Paris 7e Arrondissement","Ecole Militaire 5",3890,2061,"Paris 7e Arrondissement","48.8528896143"," 2.31121106011","48.8528896143, 2.31121106011"
"75","75107","751072706","11","Paris 7e Arrondissement","Ecole Militaire 6",1548,1792,"Paris 7e Arrondissement","48.8507256158"," 2.31543344153","48.8507256158, 2.31543344153"
"75","75107","751072707","11","Paris 7e Arrondissement","Ecole Militaire 7",3669,112,"Paris 7e Arrondissement","48.8513911985"," 2.30564875142","48.8513911985, 2.30564875142"
"75","75107","751072801","11","Paris 7e Arrondissement","Gros Caillou 1",1737,2584,"Paris 7e Arrondissement","48.8551053249"," 2.30823943208","48.8551053249, 2.30823943208"
"75","75107","751072802","11","Paris 7e Arrondissement","Gros Caillou 2",4116,1998,"Paris 7e Arrondissement","48.8571786103"," 2.30809556698","48.8571786103, 2.30809556698"
"75","75107","751072803","11","Paris 7e Arrondissement","Gros Caillou 3",3046,1713,"Paris 7e Arrondissement","48.8561396841"," 2.30590698659","48.8561396841, 2.30590698659"
"75","75107","751072804","11","Paris 7e Arrondissement","Gros Caillou 4",3684,3285,"Paris 7e Arrondissement","48.8586562165"," 2.3069496488","48.8586562165, 2.3069496488"
"75","75107","751072805","11","Paris 7e Arrondissement","Gros Caillou 5",2977,3316,"Paris 7e Arrondissement","48.8568584723"," 2.30306740788","48.8568584723, 2.30306740788"
"75","75107","751072806","11","Paris 7e Arrondissement","Gros Caillou 6",1831,1906,"Paris 7e Arrondissement","48.8566917412"," 2.30057385725","48.8566917412, 2.30057385725"
"75","75107","751072807","11","Paris 7e Arrondissement","Gros Caillou 7",3308,2279,"Paris 7e Arrondissement","48.8545702137"," 2.29658847783","48.8545702137, 2.29658847783"
"75","75107","751072808","11","Paris 7e Arrondissement","Gros Caillou 8",32114,1680,"Paris 7e Arrondissement","48.8589077159"," 2.30073137129","48.8589077159, 2.30073137129"
"75","75107","751072809","11","Paris 7e Arrondissement","Gros Caillou 9",5151,2344,"Paris 7e Arrondissement","48.8607698224"," 2.2994748427","48.8607698224, 2.2994748427"
"75","75107","751072810","11","Paris 7e Arrondissement","Gros Caillou 10",4087,2964,"Paris 7e Arrondissement","48.8602941919"," 2.3060906279","48.8602941919, 2.3060906279"
